key,en,pl
CONTEXT_ARMOR,Armor,Zbroje
CONTEXT_ARMOR_1,Leather Armor,Skórzany Pancerz
CONTEXT_ARMOR_2,Plate Armor,Zbroja Płytowa
CONTEXT_ARMOR_3,Rogue Armor,Pancerz Bandyty
CONTEXT_ARMOR_4,Paladin Armor,Zbroja Paladyna
CONTEXT_ARMOR_5,Elf Armor,Elficka Zbroja
CONTEXT_ARMOR_6,North Armor,Zbroja z Północy
CONTEXT_ARMOR_7,Royal Armor,Pancerz Szlachica
CONTEXT_ARMOR_8,Death Knight Armor,Zbroja Rycerza Śmierci
CONTEXT_ARMOR_9,Ancient Armor,Starożytna Zbroja
CONTEXT_HANDS_1,Leather Gloves,Skórzane Rękawice
CONTEXT_HANDS_2,Plate Gloves,Stalowe Rękawice
CONTEXT_HANDS_3,Rogue Gloves,Rękawice Bandyty
CONTEXT_HANDS_4,Paladin Gloves,Rękawice Paladyna
CONTEXT_HANDS_5,Elf Gloves,Elfie Rękawice
CONTEXT_HANDS_6,North Gloves,Rękawice z Północy
CONTEXT_HANDS_7,Royal Gloves,Szlacheckie Rękawice
CONTEXT_HANDS_8,Death Knight Gloves,Rękawice Rycerza Śmierci
CONTEXT_HANDS_9,Ancient Gloves,Starożytne Rękawice
CONTEXT_BOOTS_1,Leather Boots,Skórzane Buty
CONTEXT_BOOTS_2,Plate Boots,Stalowe Buty
CONTEXT_BOOTS_3,Rogue Boots,Buty Bandyty
CONTEXT_BOOTS_4,Paladin Boots,Buty Paladyna
CONTEXT_BOOTS_5,Elf Boots,Elfie Buty
CONTEXT_BOOTS_6,North Boots,Buty z Północy
CONTEXT_BOOTS_7,Royal Boots,Buty Szlachcica
CONTEXT_BOOTS_8,Death Knight Boots,Buty Rycerza Śmierci
CONTEXT_BOOTS_9,Ancient Boots,Starożytne Buty
CONTEXT_HELMETS_1,Leather Helmet,Skórzany Hełm
CONTEXT_HELMETS_2,Plate Helmet,Stalowy Hełm
CONTEXT_HELMETS_3,Rogue Helmet,Hełm Bandyty
CONTEXT_HELMETS_4,Paladin Helmet,Hełm Paladyna
